representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,mvm,mos,psnr,ssim,msssim,vqm,strred,vmaf,ssimplus
1,0.0,1908.408,1.0,22.417,24,1920,1080,0,0.041,78.783,34.696,0.985,0.98,0.36,20.376,83.952,79.667
1,0.0,1032.08,1.0,20.25,24,1920,1080,0,0.042,78.783,38.933,0.988,0.984,0.27,15.213,86.149,84.75
1,0.0,1505.056,1.0,19.458,24,1920,1080,0,0.044,78.783,42.631,0.991,0.989,0.182,22.704,86.117,88.667
1,0.0,2208.952,1.0,20.333,24,1920,1080,0,0.038,78.783,36.361,0.993,0.988,0.235,9.223,88.803,86.458
1,0.0,1390.816,1.0,19.833,24,1920,1080,0,0.038,78.783,36.524,0.991,0.987,0.248,15.011,86.539,86.125
1,0.0,535.68,1.0,19.167,24,1920,1080,0,0.053,78.783,48.061,0.996,0.996,0.051,,87.653,90.417
1,0.0,2290.792,1.0,19.542,24,1920,1080,0,0.038,78.783,38.02,0.99,0.986,0.259,12.099,86.131,84.792
1,0.0,824.544,1.0,19.667,24,1920,1080,0,0.042,78.783,41.005,0.993,0.99,0.2,,86.74,87.75
1,0.0,1385.664,1.0,19.542,24,1920,1080,0,0.048,78.783,38.637,0.983,0.979,0.241,20.321,85.637,86.625
1,0.0,1330.784,1.0,19.083,24,1920,1080,0,0.043,78.783,37.848,0.984,0.979,0.215,13.953,88.307,85.125
