representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,mvm,mos,psnr,ssim,msssim,vqm,strred,vmaf,ssimplus
1,0.0,1250.624,1.0,16.333,24,1920,1080,0,0.049,86.391,44.229,0.996,0.995,0.099,4.585,92.412,92.083
1,0.0,1025.904,1.0,15.042,24,1920,1080,0,0.047,86.391,44.917,0.997,0.996,0.076,1.868,95.877,92.833
1,0.0,1294.52,1.0,14.083,24,1920,1080,0,0.051,86.391,48.314,0.997,0.997,0.051,1140.229,90.675,93.542
1,0.0,2197.224,1.0,14.875,24,1920,1080,0,0.041,86.391,42.622,0.996,0.994,0.084,2.406,99.682,93.417
1,0.0,1476.496,1.0,14.333,24,1920,1080,0,0.047,86.391,44.729,0.997,0.995,0.055,,92.087,93.417
1,0.0,842.16,1.0,14.375,24,1920,1080,0,0.051,86.391,48.27,0.997,0.996,0.024,10.884,87.206,93.667
1,0.0,1090.272,1.0,14.375,24,1920,1080,0,0.05,86.391,44.476,0.997,0.995,0.043,2.826,93.693,94.0
1,0.0,1669.8,1.0,14.25,24,1920,1080,0,0.048,86.391,43.294,0.997,0.995,0.042,2.488,94.949,93.958
1,0.0,1692.504,1.0,14.375,24,1920,1080,0,0.043,86.391,42.713,0.997,0.995,0.041,2.213,96.099,94.0
1,0.0,2119.656,1.0,13.5,24,1920,1080,0,0.038,86.391,41.921,0.997,0.995,0.048,2.144,97.849,93.417
