representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,mvm,mos,psnr,ssim,msssim,vqm,strred,vmaf,ssimplus
1,0.0,897.536,1.0,36.36,25,1920,1080,0,0.029,60.348,38.102,0.968,0.971,0.274,32.719,66.637,71.12
1,0.0,1228.44,1.0,37.36,25,1920,1080,0,0.031,60.348,39.828,0.974,0.978,0.256,27.887,77.074,75.0
1,0.0,1581.008,1.0,39.08,25,1920,1080,0,0.032,60.348,40.593,0.978,0.981,0.271,33.669,79.916,77.32
1,0.0,1593.376,1.0,38.96,25,1920,1080,0,0.032,60.348,39.13,0.976,0.979,0.284,24.319,86.212,77.36
1,0.0,1792.376,1.0,39.52,25,1920,1080,0,0.033,60.348,36.935,0.976,0.976,0.266,15.554,85.963,77.96
1,5.0,1315.664,1.0,36.72,25,1920,1080,0,0.035,60.348,39.591,0.982,0.983,0.248,15.588,88.06,80.24
1,0.0,1461.496,1.0,35.04,25,1920,1080,0,0.039,60.348,41.902,0.985,0.988,0.193,21.783,80.147,83.44
1,0.0,1597.448,1.0,36.32,25,1920,1080,0,0.035,60.348,39.748,0.975,0.979,0.192,35.17,72.619,78.4
1,0.0,1748.08,1.0,37.76,25,1920,1080,0,0.036,60.348,38.962,0.966,0.971,0.315,38.726,70.39,74.0
1,0.0,1572.488,1.0,38.04,25,1920,1080,0,0.034,60.348,41.936,0.979,0.982,0.296,55.855,74.669,77.52
