representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,mvm,mos,psnr,ssim,msssim,vqm,strred,vmaf,ssimplus
1,0.0,863.224,1.0,45.52,25,1920,1080,0,0.023,59.696,27.529,0.901,0.89,0.657,87.699,39.783,40.12
1,0.0,1311.944,1.0,43.24,25,1920,1080,0,0.028,59.696,29.539,0.947,0.936,0.51,48.301,58.872,54.52
1,0.0,1326.0,1.0,41.16,25,1920,1080,0,0.03,59.696,30.161,0.959,0.948,0.452,35.567,64.973,64.72
1,0.0,1247.976,1.0,42.16,25,1920,1080,0,0.026,59.696,29.926,0.959,0.947,0.456,32.208,64.277,65.08
1,0.0,1898.08,1.0,42.64,25,1920,1080,0,0.024,59.696,29.675,0.956,0.944,0.481,36.375,60.786,62.88
1,0.0,1480.88,1.0,43.28,25,1920,1080,0,0.022,59.696,29.864,0.959,0.947,0.468,34.152,62.368,64.44
1,0.0,1423.528,1.0,41.56,25,1920,1080,0,0.023,59.696,29.796,0.956,0.945,0.465,39.642,61.055,63.88
1,0.0,1659.312,1.0,40.8,25,1920,1080,0,0.023,59.696,29.837,0.957,0.945,0.459,37.081,61.168,64.36
1,0.0,1502.128,1.0,41.12,25,1920,1080,0,0.022,59.696,29.735,0.956,0.944,0.461,41.743,61.067,63.76
1,0.0,1860.392,1.0,41.08,25,1920,1080,0,0.021,59.696,29.194,0.951,0.938,0.491,47.193,57.579,60.88
