representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,mvm,mos,psnr,ssim,msssim,vqm,strred,vmaf,ssimplus
0,0.0,854.592,1.0,46.133,30,1920,1080,0,0.032,31.0,27.77,0.85,0.869,0.758,430.948,23.774,20.9
0,0.0,1120.616,1.0,45.833,30,1920,1080,0,0.03,31.0,28.708,0.885,0.898,0.67,258.802,31.573,22.867
0,0.0,1079.4,1.0,41.933,30,1920,1080,0,0.029,31.0,30.239,0.88,0.895,0.492,180.318,33.888,21.2
0,0.0,770.504,1.0,42.9,30,1920,1080,0,0.03,31.0,32.896,0.903,0.913,0.305,251.171,31.243,22.867
0,0.0,813.096,1.0,37.533,30,1920,1080,0,0.029,31.0,34.464,0.943,0.948,0.302,122.657,37.431,32.833
0,0.0,846.456,1.0,38.867,30,1920,1080,0,0.03,31.0,33.235,0.895,0.907,0.346,778.055,24.085,25.3
0,0.0,780.152,1.0,36.933,30,1920,1080,0,0.031,31.0,33.423,0.924,0.933,0.406,320.331,29.175,27.3
0,0.0,811.0,1.0,39.1,30,1920,1080,0,0.03,31.0,33.094,0.892,0.907,0.408,776.692,23.654,22.767
0,0.0,799.304,1.0,43.033,30,1920,1080,0,0.028,31.0,32.288,0.83,0.849,0.42,824.023,28.094,20.8
0,0.0,769.176,1.0,47.0,30,1920,1080,0,0.025,31.0,28.012,0.776,0.803,0.627,758.067,25.108,16.033
