representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,mvm,mos,psnr,ssim,msssim,vqm,strred,vmaf,ssimplus
1,5.0,736.824,1.0,40.46,50,1920,1080,0,0.023,58.609,28.457,0.886,0.886,0.414,146.274,28.361,23.38
1,0.0,1061.624,1.0,35.7,50,1920,1080,0,0.024,58.609,31.572,0.947,0.942,0.267,64.648,55.265,46.1
1,0.0,1165.016,1.0,36.02,50,1920,1080,0,0.024,58.609,31.574,0.945,0.939,0.278,62.916,55.427,51.18
1,0.0,927.736,1.0,39.74,50,1920,1080,0,0.025,58.609,32.252,0.948,0.942,0.277,62.228,55.823,52.34
1,0.0,1276.752,1.0,38.9,50,1920,1080,0,0.024,58.609,32.046,0.916,0.916,0.342,131.914,43.715,49.68
1,0.0,2339.424,1.0,33.3,50,1920,1080,0,0.022,58.609,30.283,0.906,0.896,0.422,60.83,38.465,45.02
1,0.0,1881.24,1.0,34.84,50,1920,1080,0,0.021,58.609,30.219,0.925,0.913,0.411,33.503,44.77,49.66
1,0.0,1240.84,1.0,39.0,50,1920,1080,0,0.017,58.609,30.498,0.943,0.937,0.465,74.937,49.734,44.96
1,0.0,1415.088,1.0,37.52,50,1920,1080,0,0.016,58.609,30.391,0.943,0.937,0.456,54.281,54.322,45.02
1,0.0,1588.256,1.0,37.16,50,1920,1080,0,0.015,58.609,30.883,0.952,0.944,0.427,69.168,55.311,48.36
