representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,mvm,mos,psnr,ssim,msssim,vqm,strred,vmaf,ssimplus
0,0.0,482.272,1.0,37.88,25,1920,1080,0,0.023,40.391,31.444,0.94,0.945,0.667,126.179,34.712,44.92
0,0.0,485.872,1.0,36.44,25,1920,1080,0,0.028,40.391,32.291,0.96,0.962,0.537,70.67,50.652,52.04
0,0.0,317.128,1.0,36.32,25,1920,1080,0,0.019,40.391,33.37,0.968,0.968,0.585,44.693,54.412,62.04
0,0.0,295.112,1.0,35.0,25,1920,1080,0,0.018,40.391,34.048,0.969,0.969,0.572,31.448,58.046,67.16
0,0.0,383.0,1.0,37.0,25,1920,1080,0,0.018,40.391,35.184,0.97,0.971,0.61,32.502,57.616,70.08
0,5.0,361.104,1.0,38.24,25,1920,1080,0,0.015,40.391,36.74,0.97,0.973,0.638,72.193,54.18,73.32
0,0.0,305.624,1.0,37.36,25,1920,1080,0,0.014,40.391,37.212,0.972,0.974,0.632,50.912,55.577,75.72
0,0.0,529.96,1.0,38.0,25,1920,1080,0,0.016,40.391,36.099,0.964,0.966,0.62,73.815,54.602,74.04
0,0.0,417.432,1.0,41.0,25,1920,1080,0,0.014,40.391,35.286,0.965,0.966,0.633,45.504,55.508,73.68
0,0.0,827.984,1.0,40.92,25,1920,1080,0,0.017,40.391,33.569,0.957,0.958,0.636,99.163,44.426,62.44
