representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,mvm,mos,psnr,ssim,msssim,vqm,strred,vmaf,ssimplus
2,0.0,1826.544,1.0,25.042,24,1920,1080,1,0.029,86.87,42.385,0.988,0.988,0.241,24.267,83.449,85.833
2,0.0,2213.072,1.0,24.208,24,1920,1080,1,0.03,86.87,43.085,0.991,0.99,0.205,14.186,87.518,87.208
2,0.0,2222.248,1.0,23.708,24,1920,1080,1,0.029,86.87,42.973,0.992,0.991,0.179,11.839,89.563,89.0
2,0.0,4061.76,1.0,26.75,24,1920,1080,1,0.03,86.87,40.094,0.989,0.987,0.195,9.059,89.328,87.708
2,0.0,3657.416,1.0,29.875,24,1920,1080,1,0.028,86.87,38.882,0.989,0.985,0.19,5.183,88.885,86.917
2,5.0,5017.08,1.0,29.0,24,1920,1080,1,0.026,86.87,37.586,0.991,0.987,0.176,5.444,90.362,87.625
2,0.0,4521.016,1.0,28.125,24,1920,1080,1,0.024,86.87,38.295,0.992,0.988,0.166,5.409,91.075,88.833
2,0.0,2058.84,1.0,25.917,24,1920,1080,1,0.018,86.87,39.598,0.996,0.994,0.131,5.819,90.178,92.0
2,0.0,2547.464,1.0,25.625,24,1920,1080,1,0.019,86.87,39.534,0.996,0.994,0.127,6.271,90.595,92.042
2,0.0,1436.264,1.0,26.667,24,1920,1080,1,0.018,86.87,39.056,0.996,0.994,0.135,6.149,89.48,91.792
