representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,mvm,mos,psnr,ssim,msssim,vqm,strred,vmaf,ssimplus
2,0.0,2444.944,1.0,29.8,25,1920,1080,1,0.04,85.391,38.301,0.984,0.981,0.256,13.554,83.363,82.76
2,0.0,2794.768,1.0,27.64,25,1920,1080,1,0.034,85.391,38.291,0.988,0.984,0.192,17.829,87.386,80.88
2,0.0,2658.4,1.0,21.6,25,1920,1080,1,0.035,85.391,38.69,0.99,0.986,0.152,14.92,87.816,82.8
2,0.0,2869.512,1.0,22.96,25,1920,1080,1,0.036,85.391,38.424,0.992,0.989,0.12,8.506,89.025,84.44
2,0.0,3493.72,1.0,23.28,25,1920,1080,1,0.034,85.391,38.182,0.993,0.99,0.114,8.737,86.42,85.0
2,0.0,2681.184,1.0,24.76,25,1920,1080,1,0.035,85.391,38.931,0.995,0.992,0.087,5.325,89.071,86.88
2,0.0,2615.216,1.0,26.0,25,1920,1080,1,0.034,85.391,40.527,0.994,0.992,0.104,5.751,87.001,84.84
2,0.0,2331.792,1.0,25.6,25,1920,1080,1,0.028,85.391,40.479,0.994,0.992,0.103,7.43,84.244,84.04
2,0.0,4316.752,1.0,34.08,25,1920,1080,1,0.037,85.391,37.743,0.994,0.991,0.131,5.248,96.104,86.8
2,0.0,3561.808,1.0,35.08,25,1920,1080,1,0.03,85.391,36.22,0.993,0.99,0.16,5.568,97.44,87.84
