representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,mvm,mos,psnr,ssim,msssim,vqm,strred,vmaf,ssimplus
0,5.0,849.12,1.0,47.28,25,1920,1080,0,0.027,28.348,34.206,0.912,0.923,0.496,439.761,31.325,21.12
0,0.0,732.72,1.0,47.52,25,1920,1080,0,0.026,28.348,34.287,0.935,0.942,0.511,278.786,26.028,21.76
0,0.0,802.688,1.0,47.08,25,1920,1080,0,0.027,28.348,33.092,0.937,0.944,0.592,232.426,34.267,25.56
0,0.0,880.88,1.0,50.16,25,1920,1080,0,0.03,28.348,30.658,0.904,0.917,0.691,264.827,50.738,23.52
0,0.0,733.664,1.0,50.12,25,1920,1080,0,0.029,28.348,31.66,0.915,0.929,0.672,178.716,53.577,31.52
0,0.0,956.128,1.0,49.12,25,1920,1080,0,0.029,28.348,30.938,0.908,0.922,0.656,218.611,57.801,30.12
0,0.0,1098.152,1.0,48.28,25,1920,1080,0,0.03,28.348,30.034,0.888,0.906,0.698,244.138,45.445,25.12
0,0.0,1053.496,1.0,48.32,25,1920,1080,0,0.03,28.348,32.003,0.91,0.923,0.7,363.018,43.656,25.56
0,0.0,979.232,1.0,48.44,25,1920,1080,0,0.032,28.348,30.157,0.911,0.924,0.705,224.18,47.578,24.64
0,0.0,751.416,1.0,49.0,25,1920,1080,0,0.032,28.348,32.113,0.931,0.941,0.664,256.715,37.807,27.64
