representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,mvm,mos,psnr,ssim,msssim,vqm,strred,vmaf,ssimplus
1,0.0,918.912,1.0,44.667,30,1920,1080,0,0.032,44.565,28.071,0.864,0.88,0.734,387.707,25.524,22.4
1,0.0,1321.048,1.0,44.233,30,1920,1080,0,0.031,44.565,29.539,0.906,0.914,0.621,183.332,38.551,28.767
1,0.0,1355.088,1.0,39.967,30,1920,1080,0,0.03,44.565,31.166,0.903,0.914,0.442,119.135,41.681,28.967
1,0.0,1074.656,1.0,40.5,30,1920,1080,0,0.03,44.565,34.16,0.922,0.93,0.278,133.475,40.381,29.933
1,0.0,957.0,1.0,36.5,30,1920,1080,0,0.029,44.565,35.092,0.951,0.955,0.278,87.356,43.326,37.533
1,5.0,1337.256,1.0,35.9,30,1920,1080,0,0.031,44.565,35.166,0.925,0.935,0.289,322.057,33.596,33.933
1,0.0,1235.168,1.0,34.7,30,1920,1080,0,0.032,44.565,35.748,0.95,0.956,0.316,124.093,47.477,41.3
1,0.0,1465.76,1.0,35.333,30,1920,1080,0,0.031,44.565,35.503,0.932,0.942,0.345,238.008,41.301,36.0
1,0.0,1642.448,1.0,38.333,30,1920,1080,0,0.032,44.565,34.299,0.91,0.917,0.326,266.988,40.942,31.867
1,0.0,2107.056,1.0,39.867,30,1920,1080,0,0.031,44.565,30.812,0.901,0.904,0.465,127.904,46.938,35.033
