representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,mvm,mos,psnr,ssim,msssim,vqm,strred,vmaf,ssimplus
0,5.0,669.208,1.0,34.5,24,1920,1080,0,0.04,32.522,27.559,0.887,0.893,0.797,219.9,36.315,25.75
0,0.0,382.32,1.0,33.208,24,1920,1080,0,0.04,32.522,32.573,0.939,0.942,0.654,202.104,43.565,52.375
0,0.0,408.928,1.0,32.458,24,1920,1080,0,0.041,32.522,36.99,0.945,0.95,0.527,206.812,48.369,61.958
0,0.0,616.736,1.0,32.75,24,1920,1080,0,0.037,32.522,28.288,0.926,0.921,0.736,111.692,40.43,38.458
0,0.0,398.952,1.0,32.583,24,1920,1080,0,0.036,32.522,28.794,0.928,0.924,0.714,130.503,39.223,38.958
0,0.0,147.192,1.0,31.292,24,1920,1080,0,0.054,32.522,44.609,0.981,0.985,0.123,144.584,69.112,72.875
0,0.0,664.56,1.0,31.667,24,1920,1080,0,0.037,32.522,30.573,0.93,0.933,0.667,135.408,42.026,43.542
0,0.0,311.792,1.0,31.667,24,1920,1080,0,0.041,32.522,34.407,0.953,0.954,0.529,,51.316,55.208
0,0.0,549.408,1.0,31.542,24,1920,1080,0,0.044,32.522,32.816,0.926,0.932,0.625,224.281,44.972,62.875
0,0.0,548.704,1.0,30.708,24,1920,1080,0,0.041,32.522,32.521,0.931,0.934,0.612,182.27,45.43,59.917
