representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,mvm,mos,psnr,ssim,msssim,vqm,strred,vmaf,ssimplus
2,5.0,2152.728,1.0,25.042,24,1920,1080,1,0.02,88.174,34.295,0.99,0.986,0.246,24.636,80.805,83.667
2,0.0,2760.96,1.0,23.958,24,1920,1080,1,0.02,88.174,35.479,0.992,0.989,0.183,20.157,84.221,84.833
2,0.0,3053.808,1.0,20.708,24,1920,1080,1,0.021,88.174,35.701,0.992,0.989,0.186,17.598,84.461,85.208
2,0.0,2852.96,1.0,18.625,24,1920,1080,1,0.021,88.174,35.797,0.992,0.989,0.189,18.94,83.926,85.333
2,0.0,1981.432,1.0,22.208,24,1920,1080,1,0.021,88.174,34.938,0.992,0.988,0.22,19.421,81.473,84.458
2,0.0,4876.392,1.0,20.458,24,1920,1080,1,0.019,88.174,35.596,0.994,0.991,0.173,15.413,85.045,85.958
2,0.0,2806.48,1.0,23.417,24,1920,1080,1,0.018,88.174,35.152,0.995,0.992,0.175,15.395,85.432,87.5
2,0.0,2878.896,1.0,20.917,24,1920,1080,1,0.017,88.174,35.271,0.994,0.99,0.195,21.811,86.53,87.25
2,0.0,4825.848,1.0,19.792,24,1920,1080,1,0.017,88.174,35.513,0.992,0.988,0.233,28.849,82.519,87.042
2,0.0,2059.392,1.0,25.583,24,1920,1080,1,0.017,88.174,33.87,0.991,0.987,0.291,25.384,77.656,85.5
