representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,mvm,mos,psnr,ssim,msssim,vqm,strred,vmaf,ssimplus
1,5.0,940.144,1.0,39.68,25,1920,1080,0,0.021,50.87,27.023,0.907,0.906,0.633,86.936,42.391,36.6
1,0.0,1363.352,1.0,44.08,25,1920,1080,0,0.02,50.87,29.004,0.937,0.932,0.548,65.504,54.671,46.48
1,0.0,1302.312,1.0,44.4,25,1920,1080,0,0.02,50.87,28.994,0.947,0.941,0.521,52.49,57.813,54.2
1,0.0,1432.904,1.0,43.68,25,1920,1080,0,0.02,50.87,28.77,0.948,0.941,0.513,49.429,59.185,54.88
1,0.0,1642.984,1.0,42.2,25,1920,1080,0,0.022,50.87,28.672,0.949,0.942,0.511,50.78,58.957,54.36
1,0.0,1467.664,1.0,37.64,25,1920,1080,0,0.022,50.87,28.887,0.953,0.946,0.49,48.274,60.768,57.04
1,0.0,1429.304,1.0,37.64,25,1920,1080,0,0.024,50.87,28.98,0.953,0.945,0.486,34.384,63.848,57.56
1,0.0,1571.04,1.0,43.56,25,1920,1080,0,0.023,50.87,28.979,0.952,0.944,0.487,30.154,64.315,58.52
1,0.0,1487.488,1.0,43.68,25,1920,1080,0,0.025,50.87,28.987,0.952,0.944,0.484,26.516,64.582,58.72
1,0.0,1793.376,1.0,40.0,25,1920,1080,0,0.027,50.87,28.471,0.948,0.94,0.497,32.142,60.344,56.16
