representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,mvm,mos,psnr,ssim,msssim,vqm,strred,vmaf,ssimplus
2,5.0,2172.096,1.0,28.84,25,1920,1080,1,0.032,71.913,42.499,0.988,0.989,0.117,6.661,88.666,88.44
2,0.0,2381.112,1.0,31.44,25,1920,1080,1,0.032,71.913,43.289,0.989,0.99,0.12,7.332,92.408,88.28
2,0.0,3030.064,1.0,33.4,25,1920,1080,1,0.032,71.913,44.128,0.991,0.991,0.138,9.078,93.07,88.8
2,0.0,3236.816,1.0,32.8,25,1920,1080,1,0.031,71.913,43.02,0.991,0.991,0.137,6.116,98.357,89.08
2,0.0,3817.272,1.0,33.32,25,1920,1080,1,0.032,71.913,41.068,0.991,0.99,0.115,3.825,98.693,90.16
2,0.0,2517.136,1.0,30.36,25,1920,1080,1,0.035,71.913,43.154,0.993,0.992,0.121,4.315,98.163,90.68
2,0.0,2690.848,1.0,28.76,25,1920,1080,1,0.039,71.913,45.809,0.994,0.995,0.095,5.535,94.01,92.64
2,0.0,3183.768,1.0,29.68,25,1920,1080,1,0.036,71.913,43.953,0.991,0.992,0.095,8.33,90.646,90.6
2,0.0,3510.736,1.0,31.08,25,1920,1080,1,0.035,71.913,43.293,0.99,0.99,0.169,8.001,91.414,89.32
2,0.0,3144.248,1.0,31.4,25,1920,1080,1,0.035,71.913,45.71,0.992,0.993,0.167,12.583,92.221,89.64
