representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,mvm,mos,psnr,ssim,msssim,vqm,strred,vmaf,ssimplus
0,5.0,261.976,1.0,35.48,25,1920,1080,0,0.022,52.174,33.956,0.944,0.952,0.516,30.936,55.129,46.36
0,0.0,316.936,1.0,32.48,25,1920,1080,0,0.022,52.174,35.335,0.952,0.96,0.46,30.378,57.194,53.16
0,0.0,557.352,1.0,35.84,25,1920,1080,0,0.025,52.174,35.069,0.947,0.953,0.407,91.653,47.814,52.2
0,0.0,826.808,1.0,44.88,25,1920,1080,0,0.033,52.174,29.138,0.933,0.935,0.43,77.545,53.342,44.36
0,0.0,742.984,1.0,46.0,25,1920,1080,0,0.029,52.174,27.949,0.938,0.937,0.451,71.481,53.675,44.36
0,0.0,818.4,1.0,47.56,25,1920,1080,0,0.032,52.174,28.473,0.949,0.946,0.406,60.689,63.012,46.52
0,0.0,867.032,1.0,45.96,25,1920,1080,0,0.028,52.174,29.286,0.952,0.949,0.407,53.455,66.335,50.0
0,0.0,1263.08,1.0,45.52,25,1920,1080,0,0.035,52.174,27.844,0.947,0.943,0.443,77.604,58.207,42.36
0,0.0,1158.616,1.0,43.36,25,1920,1080,0,0.023,52.174,27.188,0.952,0.947,0.502,83.483,53.714,41.64
0,0.0,976.536,1.0,43.2,25,1920,1080,0,0.018,52.174,27.423,0.956,0.951,0.503,87.403,48.319,45.24
