representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,mvm,mos,psnr,ssim,msssim,vqm,strred,vmaf,ssimplus
0,5.0,348.072,1.0,38.542,24,1920,1080,0,0.019,47.913,26.386,0.9,0.895,0.741,159.247,22.293,19.333
0,0.0,535.536,1.0,35.542,24,1920,1080,0,0.02,47.913,28.517,0.942,0.934,0.598,110.82,41.957,34.792
0,0.0,583.28,1.0,30.75,24,1920,1080,0,0.021,47.913,29.586,0.96,0.952,0.514,73.917,52.007,48.083
0,0.0,580.464,1.0,27.708,24,1920,1080,0,0.02,47.913,30.176,0.965,0.958,0.483,70.553,55.813,54.167
0,0.0,472.72,1.0,31.0,24,1920,1080,0,0.02,47.913,29.699,0.964,0.956,0.504,69.844,53.196,55.417
0,0.0,1005.264,1.0,29.5,24,1920,1080,0,0.019,47.913,30.066,0.973,0.964,0.481,56.461,59.305,58.875
0,0.0,539.584,1.0,32.0,24,1920,1080,0,0.018,47.913,29.695,0.975,0.964,0.483,51.708,59.842,61.292
0,0.0,712.944,1.0,28.917,24,1920,1080,0,0.017,47.913,30.335,0.973,0.963,0.47,87.479,63.813,63.167
0,0.0,1266.776,1.0,27.875,24,1920,1080,0,0.017,47.913,30.069,0.963,0.954,0.503,140.652,53.377,60.458
0,0.0,611.776,1.0,33.0,24,1920,1080,0,0.017,47.913,28.233,0.958,0.945,0.58,97.341,43.998,52.5
