representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,mvm,mos,psnr,ssim,msssim,vqm,strred,vmaf,ssimplus
2,0.0,3828.224,1.0,27.24,25,1920,1080,1,0.015,84.217,40.666,0.991,0.989,0.29,7.793,80.057,88.64
2,0.0,4703.536,1.0,26.92,25,1920,1080,1,0.016,84.217,40.647,0.992,0.99,0.253,7.41,83.833,86.8
2,0.0,3487.056,1.0,26.0,25,1920,1080,1,0.014,84.217,41.921,0.993,0.991,0.246,9.49,80.934,87.72
2,0.0,2977.872,1.0,27.08,25,1920,1080,1,0.014,84.217,41.76,0.993,0.991,0.26,12.226,79.253,86.96
2,0.0,1835.952,1.0,23.44,25,1920,1080,1,0.028,84.217,45.708,0.997,0.996,0.137,6.642,90.577,92.88
2,0.0,1222.04,1.0,23.72,25,1920,1080,1,0.035,84.217,45.335,0.997,0.996,0.115,5.245,92.605,94.56
2,0.0,2862.592,1.0,23.16,25,1920,1080,1,0.03,84.217,44.317,0.995,0.995,0.119,5.305,89.365,93.0
2,0.0,2502.456,1.0,26.52,25,1920,1080,1,0.027,84.217,42.36,0.995,0.993,0.116,4.639,89.778,92.68
2,0.0,3315.544,1.0,24.72,25,1920,1080,1,0.023,84.217,40.936,0.995,0.993,0.127,3.681,89.707,92.16
2,0.0,3038.984,1.0,24.72,25,1920,1080,1,0.024,84.217,40.069,0.994,0.992,0.146,3.993,89.648,91.88
