representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,mvm,mos,psnr,ssim,msssim,vqm,strred,vmaf,ssimplus
2,0.0,3831.816,1.0,16.25,24,1920,1080,1,0.041,90.174,38.948,0.995,0.993,0.159,4.768,98.638,91.042
2,0.0,2089.152,1.0,14.167,24,1920,1080,1,0.043,90.174,41.117,0.994,0.99,0.136,4.097,96.386,91.375
2,0.0,3086.568,1.0,13.5,24,1920,1080,1,0.045,90.174,44.875,0.996,0.994,0.075,7.344,94.039,93.417
2,0.0,5055.776,1.0,13.958,24,1920,1080,1,0.039,90.174,40.122,0.998,0.995,0.088,2.868,97.583,93.958
2,0.0,3064.888,1.0,13.833,24,1920,1080,1,0.038,90.174,40.115,0.997,0.994,0.108,4.506,95.902,93.458
2,5.0,1086.064,1.0,13.25,24,1920,1080,1,0.054,90.174,49.182,0.998,0.998,0.028,7.605,92.336,94.917
2,0.0,4634.616,1.0,13.708,24,1920,1080,1,0.038,90.174,41.406,0.996,0.994,0.112,3.518,95.56,92.458
2,0.0,1584.52,1.0,13.708,24,1920,1080,1,0.043,90.174,43.405,0.997,0.995,0.085,,94.633,93.542
2,0.0,2749.68,1.0,13.75,24,1920,1080,1,0.048,90.174,40.236,0.991,0.985,0.12,6.104,95.742,91.0
2,0.0,2497.848,1.0,13.958,24,1920,1080,1,0.044,90.174,39.072,0.991,0.984,0.118,4.448,97.037,89.042
