representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,mvm,mos,psnr,ssim,msssim,vqm,strred,vmaf,ssimplus
2,0.0,846.336,1.0,43.28,25,1920,1080,1,0.022,64.739,32.272,0.943,0.943,0.584,101.711,48.571,70.36
2,0.0,1576.56,1.0,37.56,25,1920,1080,1,0.028,64.739,31.953,0.952,0.95,0.487,73.188,57.324,69.92
2,0.0,1864.76,1.0,35.8,25,1920,1080,1,0.029,64.739,32.478,0.96,0.958,0.423,58.437,63.273,74.48
2,0.0,2028.544,1.0,36.88,25,1920,1080,1,0.033,64.739,33.225,0.976,0.975,0.373,42.303,64.838,72.76
2,0.0,2790.472,1.0,37.56,25,1920,1080,1,0.032,64.739,31.754,0.982,0.979,0.363,37.317,69.113,71.0
2,5.0,3959.776,1.0,29.2,25,1920,1080,1,0.029,64.739,28.092,0.981,0.974,0.436,45.585,68.911,65.56
2,0.0,3469.952,1.0,28.76,25,1920,1080,1,0.029,64.739,27.83,0.982,0.975,0.413,45.175,69.789,64.68
2,0.0,3710.464,1.0,30.24,25,1920,1080,1,0.03,64.739,27.918,0.977,0.97,0.452,52.459,66.061,63.48
2,0.0,3194.456,1.0,35.72,25,1920,1080,1,0.029,64.739,26.8,0.932,0.91,0.47,92.445,60.594,54.24
2,0.0,4520.72,1.0,42.48,25,1920,1080,1,0.031,64.739,26.753,0.893,0.873,0.445,108.086,65.981,43.16
