-10.496,-15.496,-20.496,-25.496,-30.496,-35.496,-40.496,-45.496,-50.496,-55.496
-31.487,-46.487,-61.487,-76.487,-91.487,-106.49,-121.49,-136.49,-151.49,-166.49
-52.478,-77.479,-102.48,-127.48,-152.48,-177.48,-202.48,-227.48,-252.48,-277.48
-73.469,-108.47,-143.47,-178.47,-213.47,-248.47,-283.47,-318.47,-353.47,-388.47
-94.46,-139.46,-184.46,-229.46,-274.46,-319.46,-364.46,-409.46,-454.46,-499.46
-115.45,-170.45,-225.45,-280.45,-335.45,-390.45,-445.45,-500.45,-555.45,-610.45
-136.44,-201.44,-266.44,-331.44,-396.44,-461.44,-526.44,-591.44,-656.44,-721.44
-157.43,-232.44,-307.44,-382.44,-457.44,-532.44,-607.44,-682.44,-757.44,-832.44
-178.42,-263.43,-348.43,-433.43,-518.43,-603.43,-688.43,-773.43,-858.43,-943.43
-199.41,-294.42,-389.42,-484.42,-579.42,-674.42,-769.42,-864.42,-959.42,-1054.4
